date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-29,881,4320,3030787,701.571064814815,,0.14939398540146,,0.171246,,61.400928,,0,0,,0,,47.01242833,,,,,,31112484745,411,761,661792760.953689,,3663025.26678394,,10655180.536139,,2787562228.022581,,,,
2017-10-30,1195,4320,2973620,688.337962962963,,0.163066072916667,,0.171246,,93.926058,,0,0,,0,,8.32622528,,,,,,31112484745,576,1106,3736685436.657195,,107910137.684831,,11104000.418596,,119348612279.422572,,,,
2017-10-31,1328,4320,3106679,719.138657407407,,0.161316199680511,,0.171246,,100.983941,,0,0,,0,,9.62496049,,,,,,31112484745,626,1205,3232479217.959103,,8616891.25889524,,10402957.213758,,10383353966.968763,,,,
2017-11-01,1245,4320,2975153,688.692824074074,,0.165843817073171,,0.171246,,95.194351,,0,0,,0,,22.65683241,,,,,,31112484745,574,1112,1373205405.847855,,4627320.13948941,,9964313.900548,,5145579995.11222,,,,
2017-11-02,1017,4319,3070905,711.022227367446,,0.163996296943231,,0.171246,,75.110304,,0,0,,0,,22.61420681,,,,,,31112484745,458,883,1375793765.554996,,4503100.63279434,,9617669.05306,,3976237858.757398,,,,
2017-11-03,830,4320,3026305,700.533564814815,,0.158903037135279,,0.171246,,59.906445,,0,0,,0,,45.28879172,,,,,,31112484745,377,717,686979792.607375,,3426393.12443366,,9295445.783332,,2456723870.218931,,,,
2017-11-04,774,4320,2879091,666.45625,,0.156068915492958,,0.171246,,55.404465,,0,0,,0,,52.1794607,,,,,,31112484745,355,672,596259223.980101,,3370407.94251653,,8875067.362699,,2264914137.371107,,,,
2017-11-05,813,4320,3012785,697.403935185185,,0.159060775725594,,0.171246,,60.284034,,0,0,,0,,46.76510583,,,,,,31112484745,379,728,665292726.07045,,3461846.03166314,,8571392.464864,,2520223911.050769,,,,
2017-11-06,1046,4320,2929428,678.108333333333,,0.166998898305085,,0.171246,,78.82348,,0,0,,0,,35.10065135,,,,,,31112484745,472,919,886379128.183364,,3231319.28897541,,8174292.575471,,2969582426.568402,,,,
2017-11-07,858,4320,3043886,704.603240740741,,0.15843439800995,,0.171246,,63.690628,,0,0,,0,,32.95946289,,,,,,31112484745,402,764,943962128.580418,,3511762.25487321,,7849794.190521,,2682986362.723131,,,,
2017-11-08,790,4320,3022226,699.589351851852,,0.162835011235955,,0.171246,,57.969264,,0,0,,0,,49.32565545,,,,,,31112484745,356,681,630756640.954512,,3033702.68986674,,7628611.825864,,2065951531.799247,,,,
2017-11-09,1333,4320,2981236,690.100925925926,,0.162048433673469,,0.171246,,95.284479,,0,0,,0,,34.73194925,,,,,,31112484745,588,1128,895788615.766059,,2996917.45274455,,7319969.296792,,3380522886.695851,,,,
2017-11-10,1160,4320,3075419,711.902546296296,,0.161250504570384,,0.171246,,88.204026,,0,0,,0,,9.33805648,,,,,,31112484745,547,1041,3331794447.447612,,5481539.72810713,,7197013.827847,,5706282856.959518,,,,
2017-11-11,737,4320,2875947,665.728472222222,,0.157209601796407,,0.171246,,52.508007,,0,0,,0,,74.05590797,,,,,,31112484745,334,637,420121575.688311,,2588810.93688558,,6075209.9185,,1649072566.796114,,,,
2017-11-12,800,4320,3046229,705.145601851852,,0.155439484771574,,0.171246,,61.243157,,0,0,,0,,80.91218327,,,,,,31112484745,394,734,384521631.831956,,6119977.95482487,,8201235.492274,,4492063818.841453,,,,
