Date,Open,High,Low,Close,Adj Close,Volume
2018-12-30,0.041597,0.043665,0.040842,0.043280,0.043280,27767173
2018-12-31,0.043232,0.043364,0.040493,0.041063,0.041063,19280456
2019-01-01,0.040984,0.042547,0.040308,0.042547,0.042547,14962901
2019-01-02,0.042568,0.045563,0.041982,0.045258,0.045258,24151526
2019-01-03,0.045106,0.045259,0.042535,0.042682,0.042682,21126963
2019-01-04,0.042629,0.044092,0.042477,0.043812,0.043812,16024029
2019-01-05,0.043659,0.045570,0.043350,0.044701,0.044701,25100964
2019-01-06,0.044709,0.049637,0.044709,0.049261,0.049261,51366407
2019-01-07,0.049266,0.050744,0.047579,0.047996,0.047996,45688430
2019-01-08,0.048140,0.050021,0.046749,0.048525,0.048525,34626382
2019-01-09,0.048567,0.052740,0.048533,0.052169,0.052169,55364234
2019-01-10,0.052049,0.054636,0.042756,0.044529,0.044529,91162431
2019-01-11,0.044322,0.045157,0.042749,0.044147,0.044147,35963010
2019-01-12,0.044154,0.044630,0.043099,0.043704,0.043704,18224445
2019-01-13,0.043812,0.043812,0.039807,0.040241,0.040241,21758341
2019-01-14,0.040249,0.044484,0.040204,0.044059,0.044059,30269130
2019-01-15,0.044157,0.044385,0.042045,0.042810,0.042810,24504026
2019-01-16,0.042768,0.045247,0.042514,0.044777,0.044777,35481506
2019-01-17,0.044868,0.046222,0.044024,0.045318,0.045318,38222964
2019-01-18,0.045308,0.045308,0.043957,0.044316,0.044316,18937099
2019-01-19,0.044275,0.046441,0.043984,0.045750,0.045750,23657401
2019-01-20,0.045674,0.045981,0.042552,0.043477,0.043477,26755021
2019-01-21,0.043541,0.043671,0.042534,0.042937,0.042937,16583935
2019-01-22,0.042889,0.044080,0.041876,0.043578,0.043578,22963399
2019-01-23,0.043548,0.044112,0.042695,0.042900,0.042900,15241102
2019-01-24,0.042937,0.043487,0.042537,0.043027,0.043027,12440167
2019-01-25,0.043097,0.043248,0.042454,0.042691,0.042691,12663795
2019-01-26,0.042687,0.043539,0.042533,0.042649,0.042649,13550563
2019-01-27,0.042666,0.042680,0.040897,0.041168,0.041168,20835106
2019-01-28,0.041137,0.041318,0.037283,0.038772,0.038772,30041137
2019-01-29,0.038713,0.039420,0.037044,0.038251,0.038251,19526239
2019-01-30,0.038177,0.040075,0.037798,0.039656,0.039656,26151501
2019-01-31,0.039699,0.040287,0.037953,0.038374,0.038374,22222102
2019-02-01,0.038441,0.039136,0.037117,0.038678,0.038678,18778624
2019-02-02,0.038598,0.039317,0.038222,0.039317,0.039317,12312316
2019-02-03,0.039259,0.039411,0.037812,0.038029,0.038029,12940762
2019-02-04,0.038130,0.038595,0.037796,0.037857,0.037857,12233073
2019-02-05,0.037824,0.038347,0.037444,0.037896,0.037896,13348305
2019-02-06,0.037993,0.037993,0.036060,0.036663,0.036663,17351383
2019-02-07,0.036651,0.037182,0.036332,0.036396,0.036396,12424740
